ALL LIVE DEAF PEOPLE EXPERIENCE+ REALLY WOW REALLY BIG fs-HEGEMONY #IF NOISE fs-SOUND,"In their lives, all Deaf people really experience the hegemony of sound.",All living deaf people experience a really surprising form of hegemony if there's no noise or sound.  ,Deaf people in general experience an overwhelming dominance if noise and sound don't exist.  ,All deaf people who are alive see an unusual form of hegemony if there's an absence of noise sound.  ,Every deaf individual experiences something quite astonishing when there's no noise or sound.  ,Deaf individuals have a surprising experience of dominance if there's silence from sound.  ,All living deaf people find a profound hegemony in the absence of noise and sound.  ,Deaf people encounter an unexpected dominance if there are no noise or sounds.  ,Every deaf person experiences a strange form of control if there's no noise.  ,All alive deaf people comprehend a strong hegemony without noise or sounds.  ,The experience for all deaf people is remarkably dominated when there's silence from sound.  ,,,,,,,,,
"GROW (2h)TALKwg DCL:bent-1""length of time"" GROW SIGN DCL:B""pathway of sign language""",The growth of signing went in one direction; the growth of speaking went in another.,Two people talk about the length of time sign language has been developing.  ,The conversation shows how sign language has evolved over time.  ,They discuss how sign language has grown and changed over a long period.  ,The dialogue illustrates the historical development of sign language.  ,Their discussion marks the progress of sign language over several years.  ,The exchange highlights the duration of sign language's evolution.  ,They mention the expansion and history of sign language.  ,Their conversation traces the lengthy development of sign language.  ,They are describing the timeline and progress of sign language.  ,The discussion outlines the growth pathway of sign language over time.,,,,,,,,,
DEAF (2h)alt.USE-SIGN-LANGUAGE LOOK BUT IX-3p:j IX-1p HEAR IX-3p:j VOICE+ SAME IX-1p HEAR IX-3p:j,The deaf person is signing over there but you are also hearing the voice of the interpreter over here.,"The deaf sign language users looked, but I hear their voice the same way I hear them.  ","Deaf people use sign language, look, but I hear their voice just like I hear them.  ","When the deaf use sign language, they look, but I hear their voice the same way I hear them.  ","The deaf use sign language and look, but I can hear their voice as well as I hear them.  ","Even though the deaf use sign language and look at me, I hear their voice in the same way.  ","The deaf people sign and look, but I hear their voice as if I hear them directly.  ","While the deaf use sign language, they look, yet I hear their voices just like I hear them.  ","Deaf people use sign language and look, but I hear their voice the same as I hear them.  ","Though the deaf communicate with sign language and glance at me, I perceive their voice similarly.  ","The deaf users of sign language look, but I hear their voice just as I do them.",,,,,,,,,
THAT HEAR MATCH (1h)NOW,"The sound of their voice helps you to make a connection to who they are but now,",He heard the match now.,He is listening to the match now.,He hears the match now.,He can hear the match now.,He's currently listening to the match.,He is hearing the match right now.,"Right now, he is hearing the match.",He listens to the match now.,"Now, he hears the match.",He is now able to hear the match.,,,,,,,,,
REALLY fs-IMPLY BEHIND fs-VALUE fs-OF (2h)TALKwg CULTURE MEAN GIFT TO/UNTIL VOICE+,There are real implications behind the value of speech culture and what it means when it's given a voice.,"Implying something really deep behind the value, where culture means a gift that is ongoing.  ","There's really an implication behind the value of how culture speaks, meaning it is a gift until voice is.  ","It really implies that behind the value of this conversation, culture represents a gift to continue the voice.  ","What is really implied behind the value, in cultural terms, is a gift that extends to the voice.  ",There's a notion really implying that the underlying value in talking about culture means a gift extending to the voice.  ,A genuine implication behind the value of dialogue in culture represents a perpetual gift towards voice.  ,It is genuinely implied that the hidden value in cultural talks bears the gift that endures with voice.  ,The real implication behind the cultural value discussions equates to a gift towards the voice.  ,"There's genuinely an implication that behind the cultural value, a gift is bestowed unto the voice.  ","Really implies a deeper meaning behind the cultural value, signifying a gift that evolves to the voice.",,,,,,,,,
fs-VENTRILOQUISM LOOK HEAR TRANSFER #SO IX-3p:j IX-3p:i,It's like ventriloquism when they transfer their voice to the puppet.,The ventriloquist appeared to transfer their voice to someone else.  ,The person transferred the ventriloquism act to another.  ,The skill of ventriloquism was transferred to others.  ,Ventriloquism seemed to move their voice to a different person.  ,A voice transfer through ventriloquism was achieved.  ,Ventriloquism allowed the voice to be heard from another location.  ,The practice of ventriloquism demonstrated a voice change.  ,The art of ventriloquism involved moving the sound to a different point.  ,The act of ventriloquism transferred the voice elsewhere.  ,Ventriloquism appeared to make the voice come from another source.,,,,,,,,,
CAN (2h)alt.LOOK-OVER DECIDE CLEVER (1h)FINISH COLLEGE #OR NEVER COLLEGE A-LEVEL-ABOVE NOT,"The voice can tell you if a person is intelligent, whether or not they went to college and whether or not they went to a high ranking college.",Can you decide after looking over if being clever means finishing college or not being above college level?  ,"Can looking over a decision determine if finishing college means being clever, or is cleverness not above a college level?  ","Is it that deciding wisely after reviewing means you should finish college, or maybe cleverness and college are not at the same level?  ","After examining closely, can you decide if being clever equals finishing college or never reaching above college level?  ",Does looking over a decision allow you to conclude that cleverness comes with or without finishing college?  ,Can careful review decide if finishing college is the intelligent choice or that cleverness does not require college?  ,Can you determine by inspecting if being smart means completing college or that college is low-level?  ,Is deciding after considerately reviewing related to being smart and finishing college or not being above college?  ,"By observing wisely, can you figure out if finishing college is for cleverness or if cleverness does not mean college-level?  ",Can a decision from a thorough examination show if cleverness involves finishing college or not reaching above?,,,,,,,,,
"fs-SO WHEN CONFRONT EXPERIENCE fs-OF DEAF PERSON MEET LOOK-OVER fs-MUTE NOT TALK LOOK-OVER (1h)5""not know what to do"" 5""not know what to do""","So when you meet a deaf person and have an experience where you encounter them and they don't talk, you try to figure them out.","So when encountering the experiences of a deaf person, seeing them and observing someone who is mute, they don't know what to do.  ","When faced with a deaf person's experiences and observing a mute person, they don't know what to do.  ","When confronted with a deaf person's experiences and seeing someone who is mute, they are unsure what to do.  ","When they experience a deaf person and look over at a mute person, they are at a loss as to what to do.  ","When they encounter the world of a deaf person and examine a mute person, they are confused about what to do.  ","When confronting the experiences of a deaf person and seeing a mute person, they are unsure of how to proceed.  ","Upon facing a deaf person's experience and seeing someone who is mute, they find themselves uncertain on what to do.  ","When they meet and observe the situation of a deaf person and a mute individual, they do not know what to do.  ","When presented with the experiences of a deaf person and look at someone who is mute, they have no idea what to do.  ","In the experience of meeting a deaf person and examining a mute individual, they don't know how to respond.  ",,,,,,,,,
WHO VOICE+ IX-3p:i BUT HEAR IX-loc:l MESSED-UP IX-3p:j IX-3p:j IX-loc:l,... whose voice it is when the sound is coming from a different direction,Who is that voice coming from over there but I can't hear it clearly?  ,Whose voice is that over there but the sound is messed up?  ,Whose voice is that but the sound is not clear?  ,Who is speaking over there but there is a problem with the sound?  ,"Whose voice is that, it's over there but it's unclear?  ",Who is talking over there but the sound is distorted?  ,Whose voice is over there but it sounds messed up?  ,Who is that speaking there but the voice is not clear?  ,"Who is that voice from over there, but the sound is messed up?  ",Who is talking over there but the noise is garbled?,,,,,,,,,
"FAST_3 (2h)TALKwg MEAN CLEVER fs-WITTY SMOOTH FAST_2 MIND 5""so, all set""","If you speak fast it means that you're smart, witty, smooth, and have a sharp mind.","The conversation was fast and clever, showcasing wit and smooth communication.  ","He was quick to talk, and by that, he showed how clever and witty he is.  ","She talked rapidly, smartly exchanging witty and smooth ideas.  ","The discussion moved quickly, filled with clever and witty remarks.  ","He started talking fast, which meant he was clever, witty, and smooth-minded.  ","Speaking fast, she demonstrated her clever, witty, and smooth thinking.  ","The fast-paced conversation highlighted their cleverness, wit, and smooth talking.  ","We spoke quickly, meaning we were clever, witty, and smooth in our communication.  ","His rapid talking showed how clever, witty, and smooth-minded he is.  ","This fast interaction showed she is clever, witty, and has a smooth mind.",,,,,,,,,
INTERPRET+ IX-3p:i FEEL EXPERIENCE+ fs-OF IX-3p:j WHO TALK IX-3p:j IX-3p:i IX-3p:j IX-3p:i IX-3p:j IX-3p:i IX-3p:i IX-3p:i,and an interpreter over here and they feel the experience of tracking who is speaking.,The interpreter feels the experience of both parties who communicate with each other.  ,The interpreter senses the experience of understanding between them.  ,I understand the interpreter feels the shared experience of conversations between each participant.  ,The interpreter perceives the experience of both sides as they converse.  ,The interpreter is aware of the communication exchange between the parties.  ,The feeling of the interpreter is aligned with the exchange happening between them.  ,The interpreter experiences the communication between each side.  ,The interpreter shares the experience felt when the two sides talk to one another.  ,The interpreter senses each side's talk experience reflecting back and forth.  ,There is an experience of connection the interpreter feels from the dialogue of each side.  ,,,,,,,,,
POSS-3p:i CHARACTER POSS-3p:i PERSONALITY POSS-3p:i WORK AMONG_2 CAN REALLY ANALYZE_3 FROM VOICE ALONE (1h)part:indef INCLUDE/INVOLVE fs-SIZE (1h)part:indef HEIGHT_2 POUND/WEIGH OLD (1h)part:indef fs-RACE (1h)part:indef fs-GENDER (1h)part:indef fs-SEXUAL fs-ORIENTATION SAME (1h)part:indef (1h)part:indef (1h)part:indef (1h)part:indef (1h)part:indef,"Analyzing information from a voice that tells their character, their personality, and their job. You may also be able to tell a person's size, height, weight, age, race, gender, sexual orientation...","Their character and personality really can be analyzed from voice alone, including size, height, weight, age, race, gender, and sexual orientation as well.  ","His character can be analyzed really well by voice, which also involves size, height, weight, age, race, gender, and sexual orientation.  ","Based on voice alone, you can truly analyze a person's character and personality, including size, height, weight, age, race, gender, and sexual orientation.  ","The character, personality, and work of a person can really be analyzed from just their voice, including size, height, weight, age, race, gender, and sexual orientation.  ","Voice alone can really help analyze their character among two people, which includes things like size, height, weight, age, race, gender, and sexual orientation.  ","You can really analyze their personality and character from their voice alone, involving size, height, weight, age, race, gender, and sexual orientation.  ","Someone can really analyze them by their character, personality, and work from voice alone, which also includes size, height, weight, age, race, gender, and sexual orientation.  ","Character, personality, work, and more can really be analyzed from a voice alone, which includes size, height, weight, age, race, gender, and sexual orientation.  ","They really can analyze a person's character and personality from their voice alone, considering aspects like size, height, weight, age, race, gender, and sexual orientation.  ","The character and work of a person can be analyzed just from voice alone, which includes their size, height, weight, age, race, gender, and sexual orientation.",,,,,,,,,
"PEOPLE WHO (2h)LOOK QUIET CANNOT HEAR BUT THAT CHARACTER BCL:crvd-5""swashbuckler like"" VISUALIZE HEAVY fs-BARITONE STRONG IX-3p:i","People who watch silent films can't hear it but can imagine a strong, heavy baritone voice from that swashbuckler character.","People who look quiet might not be able to hear, but the character visualized has a strong, heavy baritone voice like a swashbuckler.  ","Quiet-looking people might not be able to hear, yet they visualize a character with a strong baritone voice like a swashbuckler.  ","Although people who appear quiet might not hear, they imagine a character with a strong baritone voice reminiscent of a swashbuckler.  ","People who seem quiet can't hear, yet they picture someone with a powerful, heavy baritone voice like a swashbuckler.  ","Those who look silent may not hear, but they visualize a swashbuckler-like character with a deep baritone.  ","People who appear silent might not hear, but they visualize a character with a robust baritone, similar to a swashbuckler.  ","Quiet-looking individuals might be unable to hear, but they visualize a character with a strong baritone voice, resembling a swashbuckler.  ","Even though people who look quiet might not hear, they imagine a strong baritone character like a swashbuckler.  ","People who seem quiet may not hear, but they envision a character with a powerful baritone voice like that of a swashbuckler.  ","Even if someone appears quiet and can't hear, they still visualize a strong, baritone-voiced character like a swashbuckler.  ",,,,,,,,,
IX-1p-pl-arc HAVE fs-OWN IDEA (2h)TALKwg MEAN,We have our own idea of what our speech means.,We have our own ideas that we need to discuss.  ,We have our own idea and need to talk about it.  ,We've got an idea and we're going to talk about what it means.  ,We've got our own idea and we're going to discuss it.  ,We have an idea of our own that we should talk over.  ,We all have our own idea and we’re going to discuss together.  ,We've come up with an idea and need to talk about its meaning.  ,We each have an idea and need to converse about it.  ,We have the idea and we need to discuss what it means.  ,We've got an idea to talk about and see what it means.  ,,,,,,,,,
fs-EVEN INCLUDE/INVOLVE fs-TEMPO FAST_3 POSS-2p VOICE (1h)part:indef,"Even the tempo and speed of your voice, provides information.","Even including tempo, your voice sounds fast.  ","Even involving tempo, your voice is fast.  ","Even considering tempo, your voice is fast.  ","Even with tempo involved, your voice is fast.  ","Even taking tempo into account, your voice sounds fast.  ","Including tempo, your voice is fast.  ","Involving tempo, your voice is fast.  ","Even including the tempo, your voice is fast.  ","With tempo involved, your voice sounds fast.  ","Even taking the tempo into consideration, your voice sounds fast.  ",,,,,,,,,
"(1h)SCREAM STICK-ON-SURFACE IN STICK-ON-THROAT IX-loc:j fs-PRINT IX-loc:j DCL:fanned-flat-O""voice identity"" fs-EVEN","This is connected to the voice itself, and it is displayed like a print within voice identity.","He screamed and stuck on a surface to represent his voice identity, even with a print on his throat.  ","He screamed, sticking a print on his throat at location J, with a voice identity even on the surface.  ","He screamed with a printed voice identity sticking on his throat, even on the surface at location J.  ","He placed a printed voice identity on his throat and screamed, even sticking on the surface at location J.  ","A scream with voice identity stuck onto the surface and throat at spot J, even printed.  ","With the printed voice identity stuck on his throat, he screamed and stuck to the surface at location J.  ","He screamed and a voice identity print stuck on the surface at J, even on the throat.  ","Even with voice identity printed, he screamed as it stuck to his throat, stuck on the surface at location J.  ","He screamed, printed his voice identity sticking on the surface and his throat at location J.  ","His scream stuck on the throat and surface with a printed voice identity at location J, even.  ",,,,,,,,,
THAT MEAN CULTURE (U-L)BUILD+ MEAN (1h)GIFT TO/UNTIL THAT PERSON LOOK VOICE VISUALIZE,"When you start to visualize the character and their culture, you begin to give them a voice.",That means culture is built like a gift until that person can visualize a voice.  ,It means building culture is like a gift to that person until they can visualize a voice.  ,That implies the culture is assembled like a gift until the person sees and hears.  ,It means crafting culture similarly to a gift until the person perceives the voice.  ,That signifies constructing culture like a gift until the individual can imagine a voice.  ,It means developing culture akin to gifting until that individual visualizes sound.  ,That suggests culture is formed like a gift until the person sees the voice.  ,It implies cultivating culture is like a present until the person envisions a sound.  ,That means evolving culture is similar to a gift given until the person visualizes sound.  ,It indicates that the culture created is like a gift until a person can visualize a voice.  ,,,,,,,,,
"AND WORSE THAT WHO VOICE+ VISUALIZE POSS-3p:i C""let's see"" fs-PERSONA IX-3p:l IX-3p:l IX-3p:l","and even worse, whose is the voice that you're associating with a persona.","And even worse, that voice, I imagine, ""let's see"" persona over there.  ","Moreover, visualize that voice, I see, ""let's see"" persona there.  ","Also, that who I visualize, ""let's see"" persona is over there.  ","Furthermore, I picture that voice saying, ""let's see,"" persona there.  ","In addition, I imagine that person's voice, ""let's see"" persona over there.  ","That person's voice is also, I picture, ""let's see"" persona over there.  ","And even worse, that one whose voice I see, ""let's see"" persona is there.  ","Plus, imagine that individual's voice, I say, ""let's see"" persona there.  ","Besides, that voice, visualize, ""let's see"" persona over there.  ","Additionally, I see that voice, ""let's see"" persona over by them.",,,,,,,,,
IF IX-3p:i DEAF PERSON IX-3p:i REALLY (2h)alt.USE-SIGN-LANGUAGE+ SIGN ALSO HEAVY (2h)alt.USE-SIGN-LANGUAGE+,Suppose a deaf person is signing and the signing is really heavy.,"If a deaf person really uses sign language, they also use heavy sign language.  ","If a deaf individual truly uses sign language, they also heavily use sign language.  ","If a deaf person indeed communicates using sign language, they use it heavily as well.  ","If someone who is deaf genuinely uses sign language, they also heavily communicate in it.  ","If a deaf person actually signs, they use sign language extensively too.  ","If a deaf individual genuinely communicates in sign language, they also use it extensively.  ","If a deaf person truly expresses in sign language, they also heavily use it.  ","If a deaf person authentically uses sign language, they also use it intensively.  ","If someone deaf really signs, they employ sign language heavily too.  ","If a deaf individual sincerely uses sign language, they also make heavy use of it.",,,,,,,,,
GIFT THAT IDENTIFY TO/UNTIL IX-3p:i DEAF PERSON,That identity is given to the deaf person.,The gift that was meant for the Deaf person.  ,The gift for the Deaf person.  ,A gift designated for the Deaf person.  ,The present intended for the Deaf person.  ,A special gift given to the Deaf individual.  ,A gift identified for the Deaf individual.  ,The item set aside for the Deaf person.  ,A gift that belongs to the Deaf person.  ,The gift marked to be given to the Deaf person.  ,The present chosen for the Deaf person's use.  ,,,,,,,,,
"LOOK:j (1h)PERSON WHO (2h)TALKwg SLOW ALSO (1h)""WHAT"" (1h)part:indef fs-DIMWITTED SLOW MIND (1h)part:indef","When you look at a person and they are talking slow, you wonder why. You think that they must be dimwitted and have a slower mind.",I see a person who talks slowly and seems dimwitted or slow-minded.  ,"I see someone talking slowly, and they look a bit dimwitted or slow-minded.  ","I noticed a person speaking slowly, and they appear to be somewhat dimwitted or slow-minded.  ",I'm observing a person who speaks slowly and seems somewhat dimwitted or slow in the mind.  ,"I see a person who is speaking slowly, and they seem to be dimwitted or slow-minded.  ","I notice somebody talking slowly, and they come across as dimwitted or slow-minded.  ",I observe someone speaking slowly and they seem a little dimwitted or not quick-minded.  ,I see an individual who talks slowly and gives off the impression of being slow or dimwitted.  ,"I'm watching a person speak with a slow manner, and they seem slightly dimwitted or not quick-witted.  ","I notice a person who is slowly talking, and they seem dimwitted or slow in thought.",,,,,,,,,
TIME VOICE TEST LOOK NOT MATCH MISMATCH LOOK POSS-3p:i fs-CAREER NOT SAME BEFORE DECLINE_2,"When it was time for his voice test, his voice didn't match the character. Things weren't like they used to be and his career slumped.",The timing of the voice test does not match the career path they had before the second decline.  ,The voice test schedule doesn't align with their previous career progression before the decline.  ,The timing for the voice test and their career does not coincide like it did before the decline.  ,The voice test date does not match their career timeline from before the latest decline.  ,The schedule for the voice test isn't consistent with their former career before the decline.  ,The voice test timing doesn't align with how their career used to be before it declined again.  ,The timing of the voice test and their career do not correspond as they did before the decline.  ,The voice test timetable no longer matches their previous career path before the second decline.  ,The voice test's timing and their career don't align like before the recent decline.  ,The timing for the voice test mismatches their career as it was before the decline happened again.  ,,,,,,,,,
"MISMATCH FROM POSS-3p:i VISUALIZE LOOK-OVER WHO IX-honorific:i #WOW (1h)5""surprised""","That person doesn't match up to what you visualized and as you look up and down at that person, you are still in awe.","There was a mismatch from her perspective when she visualized and looked over who he was, and she was surprised.  ","She visualized and checked who he was, and it was shocking for her.  ","From her viewpoint, there was a mismatch when she looked over and visualized who he was and was taken aback.  ",She was startled when she visualized from her point of view and looked over who he honored.  ,"There was a mismatch in her understanding when she looked over and visualized who he was, leaving her amazed.  ","She looked over to see who he was honoring, and there was a mismatch, leaving her surprised.  ",She was bewildered after visualizing and looking over who she thought he was from her perspective.  ,"When she visualized and looked over the person he respected, it caused a mismatch for her, and she felt surprised.  ",Observing and thinking over who he was from her perspective led to a sense of surprise due to the mismatch.  ,She was astonished when she visualized from her perspective and looked over who he appeared to be.,,,,,,,,,
FOR SHOW ns-NEW-YORK FAST_3 (2h)TALKwg,"For example, in New York, the people there speak quickly.","To demonstrate in New York, there are fast-paced dialogues.  ",The show in New York will have quick conversations.  ,"For the New York event, rapid discussions are featured.  ","During the New York show, there is a lot of fast talking.  ","In New York, for the show, they speak quickly.  ",New York's presentation includes fast-talking.  ,Exhibiting in New York includes swift dialogues.  ,The show happening in New York involves rapid talk.  ,"At the New York exhibition, there is fast-paced talk.  ",The New York show will feature speed talking.  ,,,,,,,,,
